GRB	Time [UT]	Trigger Number	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	BAT Photon Index 90% Error (15-150 keV)	XRT RA (J2000)	XRT Dec (J2000)	XRT 90% Error Radius [arcsec]	XRT Time to First Observation [sec]	XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT 24 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT Initial Temporal Index	XRT Spectral Index (Gamma)	XRT Column Density (NH) [10^21 cm^-2]	UVOT RA (J2000)	UVOT Dec (J2000)	UVOT 90% Error Radius [arcsec]	UVOT Time to First Observation [sec]	UVOT Magnitude	UVOT Other Filter Magnitudes	Other Observatory Detections	Redshift	Host Galaxy	Comments	References	Burst Advocate
170714A	12:25:32	762535	34.322	1.962	2.2	n/a	28	3	0.4	0.2	1.76, PL	0.17	02:17:23.97	01:59:29.0	1.4	392.71	246	0.084191316	0.0169144206	0.5221	1.84715	1.171061	n/a	n/a	n/a	384	V>18.6	B=20.0|U=20.1|UVW1>21.0|UVM2>21.3|UVW2>21.5	GTC (10.4m), Chandra, ATCA @ 19 GHz	0.793 (GTC: emission from host)				Antonino D'Ai
170705A	02:45:47	760064	191.708	18.298	1.0	217.3	95	3	13.9	0.4	1.65, PL	0.05	12:46:48.96	18:18:25.4	1.4	72.29	157	0.91321862	0.58773934	-3.567	1.89159	1.227214	12:46:48.97	18:18:26.4	0.45	82	V>18.3	U=19.43|B=18.92|UVW1>18.1|UVM2>20.7|UVW2>21.0|White=19.23	MASTER-OAFA, HJT (1.5m), Fermi (GBM), GTC (10.4m), Konus-Wind, ISON/Terskol (0.8m), Insight-HXMT, KAIT (0.76m), TShAO Zeiss-1000 (1m), Astrosat CZTI	2.010 (GTC: absorption)				Rhaana Starling
170607A	23:21:33	756284	7.358	9.225	1.0	n/a	75	3	n/a	n/a	1.61, PL	0.07	00:29:27.82	09:14:35.7	1.4	73.41	532	0.52814505	0.247495764	-1.013	1.94001	0.798062	00:29:27.82	09:14:36.0	0.42	84	V=17.51	B=17.63|U=16.80|UVW1=16.87|UVM2=16.86|UVW2=17.04|White=17.11	NOT (2.5m), Fermi (GBM), MASTER-Tavrida, ISON/Terskol (0.8m), GTC (10.4m)	0.557 (GTC: emission)				Antonino D'Ai
170604A	19:08:50	755867	342.645	-15.406	1.4	26.70	51	4	4.2	0.9	1.31, PL	0.12	22:50:37.49	-15:24:44.4	1.4	124.72	n/a	0.303459884	0.111744724	-0.7636	1.79412	1.4473	22:50:37.52	-15:24:43.9	0.1	128	V=18.94	B=19.26|U=18.51|UVW1=18.47|UVM2=18.58|UVW2=19.53|White=18.72	iTelescope T27 (0.70m), GTC (10.4m), MPG (2.2m), AbAO AS-32 (0.7m), HJT (1.5m), Konus-Wind	1.329 (GTC: absorption)				Kim Page
170531B	22:02:09	755354	286.901	-16.414	1.5	164.13	20	2	0.8	0.2	1.95, PL	0.14	19:07:32.09	-16:25:07.9	1.4	140.90	273	0.03914964	0.02130491	-0.7799	2.06685	0.00000000000431107	19:07:32.10	-16:25:05.8	0.1	152	V>18.88	B>19.77|U>19.17|UVW1>18.91|UVM2>18.88|UVW2>19.14|White>21.03|White_fc=20.50	MASTER-Kislovodsk, CrAO (Zeiss-1000), GTC (10.4m), MPG (2.2m), ISON/Terskol (0.8m), WHT (4.2m)	2.366 (GTC: absorption)|2.366 (WHT)				Phil Evans
170519A	05:10:02	753445	163.429	25.374	1.5	216.4	11	2	0.7	0.1	1.94, PL	0.26	10:53:42.50	25:22:26.8	1.4	80.40	358	0.16940942	0.07332882	-2.358	1.97351	2.18739	10:53:42.45	25:22:27.5	0.42	93	V=17.46	B=17.66|U=16.00|UVW1=16.76|UVM2=17.13|UVW2=16.45|White=16.91	iTelescope T24 (0.61m), HJT (1.5m), LCO (1m), Weihai (1m), iTelescope T11 (0.51m), KAIT (0.76m), BOOTES-5/JGT (60cm), GTC (10.4m), NOT (2.5m), MITSuME (50cm), Watcher  (40cm), ISON/Multa (22cm), CrAO (AZT-11), Sayan Observatory (AZT-33IK), Zeiss-1000 (1m)	0.818 (GTC: absorption)				Tilan Ukwatta
170405A	18:39:48	745797	219.824	-25.236	1.3	164.7	37	3	n/a	n/a	1.59, PL	0.12	14:39:18.66	-25:14:36.2	1.4	120.60	n/a	0.067272612	0.00300752034	-1.245	1.8473	0.0000000162265	14:39:18.73	-25:14:35.4	0.42	129	V=16.31	B=17.34|U>20.2|UVW1>18.9|UVM2>17.5|UVW2>19.1|White=18.09	Fermi (GBM & LAT), NOT, TAROT (18cm), GTC (10.4m), Watcher (40cm), ISON/Terskol (0.8m), Konus-Wind, HJT (1.5m), CTIO (1.3m)	3.510 (GTC: absorption)				Nora Troja
170202A	18:28:02	736407	152.526	5.021	1.0	46.2	33	1	4.7	0.3	1.68, PL	0.07	10:10:03.46	05:00:41.0	1.4	72.49	221	0.12777926	0.052771292	-2.943	1.99768	5.19173	10:10:03.49	05:00:41.8	0.44	84	V=18.27	B=19.18|U>21.1|UVW1>19.6|UVW2>19.0|White=18.31	Xinglong  TNT (0.8m), MASTER II, LCO (1m), Zadko (D=100cm), Kanata, NOT, GTC (10.4m), MITSuME (50cm), Xinglong (2.16m), VLT, T100 (1m), LCO FTN (2m), McDonald Observatory (2.1m), HJT (1.5m), VIRT (0.5m), Konus-Wind, CTIO (1.3m)	3.645 (GTC: absorption and emission)|3.65 (Xinglong: absorption)|3.645 (VLT: absorption and emission)				Judy Racusin
170113A	10:04:05	732526	61.735	-71.933	1.3	20.66	6.7	0.7	1.1	0.1	0.75, CPL	0.59	04:06:55.94	-71:56:34.4	1.4	58.73	101	0.26535483	0.10533042	-1.202	1.81917	2.77299	04:06:55.86	-71:56:34.9	0.44	68	V=19.09	B=19.33|U=19.33|UVW1>19.38|UVM2>19.12|UVW2>19.42|White=19.56	LCO (1m), Fermi (GBM), MPG (2.2m), VLT	1.968 (VLT: absorption)				Phil Evans
161219B	18:48:39	727541	91.717	-26.801	1.0	6.94	15	1	5.3	0.4	1.29, CPL	0.35	06:06:51.37	-26:47:29.7	1.4	108.25	n/a	1.461442	0.8097496	-2.261	1.86204	1.46524	06:06:51.43	-26:47:29.5	0.42	112	V=16.7	B=16.9|U=16.0|UVW1=15.6|UVM2=15.7|UVW2=15.9|White=16.1	MPG (2.2m), LCO (1m), Watcher (40cm), ISON/Terskol (0.8m), VLA @ 14.75 GHz, MITSuME (50cm), VLT, SALT, Konus-Wind, ALMA @ 97 GHz, MASTER II, POLAR, UKIRT (3.8m), GTC (10.4m), GMRT @ 1390 MHz, AZT-33IK, ZTSh, AS-32, Zeiss-1000, Chandra	0.1475 (VLT: absorption)|0.1475 (GTC: absorption)				Antonino D'Ai
161129A	07:11:39	724438	316.221	32.137	1.8	35.53	36	1	3.4	0.2	1.57, PL	0.06	21:04:54.65	32:08:05.4	1.4	81.99	n/a	0.0161843628	0.0028210047	-0.1025	1.74506	3.262981	21:04:54.6	32:08:05.52	0.6	86	V>19.0	B>20.0|U>19.8|UVW1>19.4|UVM2>19.6|UVW2>19.5|White=20.61	AstroSat, MITSuME (50cm), Fermi (GBM), Tautenburg, Okayama, SANTEL-650 (0.65m), AZT-33IK, POLAR, NOT, GTC (10.4m)	0.645 (GTC: emission from host))	R ~ 21.2 (NOT)			Dan Kocevski
161117A	01:35:36	722604	322.053	-29.612	1.0	125.7	200	0.0	6.8	0.3	1.19, CPL	0.12	21:28:12.59	-29:36:50.4	1.4	60.83	804	0.30637215	0.12784345	-0.2041	1.92624	7.53995	21:28:12.55	-29:36:49.1	0.44	69	V=18.77	B=19.42|U=19.48|UVW1=19.48|UVM2>20.2|UVW2>20.8|White=18.26	VLT, La Silla (60cm), MASTER-OAFA, Fermi (GBM), Konus-Wind, CTIO (1.3m)	1.549 (VLT: absorption)				Jay Cummings
161108A	03:32:33	721234	180.776	24.905	1.9	105.1	11	1	0.6	0.1	1.85, PL	0.17	12:03:09.10	24:52:05.5	1.5	80.33	863	0.10517084	0.0539835	0.8311	2.00325	1.447928	n/a	n/a	n/a	90	V>18.61	B>19.76|U>19.24|UVW1>19.66|UVM2>19.89|UVW2>19.59|White>20.62	NOT, HJT (1.5m), TSHAO (1m)	1.159 (NOT: absorption & emission)	NOT	UVOT: no detection		Andy Beardmore
161017A	17:51:51	718023	142.770	43.125	1.0	216.3	53	2	2.8	0.2	1.55	0.06	09:31:04.53	43:07:35.0	1.4	57.66	324	0.206721424	0.073743474	-0.1504	1.99404	1.58757	09:31:04.60	43:07:36.3	0.42	68	V=15.14	B=15.60|U=14.56|UVW1=15.5|White=14.08	MASTER II, Fermi (GBM), GTC (10.4), TNG (3.6m), LCOGT (1m), MITSuME (50cm), Lomonosov BDRG, MASTER, SARA-RM (1.0m), Liverpool (2m), NOEMA @ 93 and 133 GHz, Konus-Wind	2.0127 (GTC: absorption)|2.01 (TNG: absorption)				Nora Troja
161014A	12:31:22	717500	332.626	7.467	1.5	18.3	19	2	2.9	0.6	1.47, PL	0.15	22:10:35.42	07:28:07.4	1.4	121.80	n/a	0.0059223144	0.0000119765772	-0.453	1.83236	15.3665	22:10:35.46	07:28:07.3	0.9	4000	V=19.1	B=20.3|U>20.9|UVW1>21.0|UVM2>20.8|UVW2>20.2|White=20.4	MITSuME (50cm), Faulks South (2m), Xinglong (0.8m), Kanata, TSHAO (1m), GTC (10.4m), NOT (2.56m), TNG (3.6m), Fermi (GBM), HJT (1.5m), Konus-Wind, VLT	2.823 (GTC: absorption)|2.823 (VLT: absorption)				Judy Racusin
160804A	01:32:47	707231	221.652	10.002	1.3	144.2	114	3	2.9	0.3	1.40, CPL	0.23	14:46:31.20	09:59:55.9	1.4	147	n/a	0.127791934	0.064234497	-1.588	1.87827	2.00515	14:46:31.14	09:59:56.7	0.44	82	V>19.9	B=20.4|U=19.53|UVW1=18.90|UVM2>18.7|UVW2>19.5|White=18.56	MASTER-SAAO, Fermi (GBM), TNG, SAO RAS (6m), VLT, MPG (2.2m), SANTEL-650 (0.65m), Zeiss-1000 (1m), HJT (1.5m), AMI @ 15 GHz	0.736 (VLT: absorption & emission)	possible host: MASTER-SAAO, TNG			Frank Marshall
160703A	12:10:05	702699	287.414	36.913	1.0	44.4	90	2	5.8	0.3	1.34, PL	0.04	19:09:40.04	36:55:03.0	3.9	107800	n/a	0.248447808	0.088215876	-1.327	1.87668	2.96986	n/a	n/a	n/a	75	V=16.51	B=16.38|U=15.05|UVW1=16.80|UVM2=17.75|UVW2=18.38|White=14.09	Konus-Wind, MITSuME (50cm), Murikabushi (1m), Keck-I (10m), Astrosat, GMRT @ 1460 MHz	< ~1.5				Brad Cenko
160624A	11:27:01	701288	330.210	29.667	2.6	0.2	0.40	0.09	0.5	0.1	0.57, PL	0.45	22:00:46.22	29:38:37.6	1.7	73.72	n/a	0.00000000090746033	0.000000000047122641	-3.791	1.60333	3.373361	n/a	n/a	n/a	77	V>19.5	B>20.7|U>20.7|UVW1>20.8|UVM2>20.7|UVW2>20.3|White>21.5	Fermi (GBM)	0.483 (Gemini-North: emission, possible host)	r' band (Gemini-North, possible host)	UVOT: no detection		Antonino D'Aì
160425A	23:26:11	684098	280.339	-54.343	3.5	304.58	21	2	2.8	0.2	2.20, PL	0.18	18:41:18.55	-54:21:36.1	1.4	203.44	n/a	0.08733227	0.04291733	-1.971	2.51113	11.3529	18:41:18.58	-54:21:36.3	0.53	208	V=19.22	B=20.16|U=20.07|UVW1=20.24|UVM2>19.7|UVW2>20.8|White=20.70	MASTER II, MPG (2.2m), VLT, MASTER-SAAO, Skynet PROMPT	0.555 (VLT: emission)	I~20.1 (CTIO)			Hans Krimm
160410A	05:09:48	682269	150.695	3.461	1.5	8.2	7.8	0.8	3.5	0.3	0.93, PL	0.17	10:02:44.40	03:28:40.8	2.3	82.89	104	0.0267737595	0.0088102905	-1.887	1.65672	0.0000000000132915	10:02:44.37	03:28:42.7	0.49	91	V>19.7	B>20.2|U=20.50|UVW1>20.3|UVM2>20.8|UVW2>20.5|White=19.46	MPG (2.2m), VLT, PROMPT, Keck-I, GMG (2.4m), TAROT (25cm), Konus-Wind, NOT	1.717 (VLT: absorption)|1.72 (Keck-I: absorption)				Sarah Gibson
160327A	09:16:07	680655	146.698	54.018	1.0	28	14	1	1.8	0.2	1.84, PL	0.11	09:46:48.55	54:00:46.3	1.4	60.50	101	0.0244029726	0.0077900022	-2.514	1.93554	0.532793	n/a	n/a	n/a	71	V>19.66	B>20.38|U>20.66|UVW1>20.21|UVM2>18.49|UVW2>18.61|White>21.50	HJT (1.5m), KAIT (0.76m), GTC (10.4m)	4.99 (GTC: absorption, probably redshift)		UVOT: no detection		Judy Racusin
160314A	11:32:51	679120	112.766	17.024	1.7	8.73	2.8	0.4	0.9	0.2	1.53, PL	0.22	07:31:09.79	16:59:57.3	2.9	90.95	n/a	0.002637516	0.0009549784	-1.302	1.95129	0.000000000790899	07:31:09.73	16:59:59.1	0.63	151	V>19.6	V>19.6|U=19.14|UVW1>18.8|UVM2>19.2|UVW2>19.3	NOT, VLT, AZT-33IK, HJT (1.5m), MPG (2.2m)	0.726 (VLT: emission from host)				Valerio D'Elia
160303A	10:54:42	677495	168.710	22.710	2.1	5.0	1.5	0.3	1.0	0.1	1.01, PL	0.33	11:14:48.17	22:44:31.3	1.5	104.08	n/a	0.0000177642276	0.00000287863644	-2.333	1.75667	0.614285	n/a	n/a	n/a	109	n/a	U_fc=20.75|B>19.9|UVW1>20.5|UVM2>19.5|White>22.5	HJT (1.5m), NOT (2.5m), McDonald (2.1m), BOAO (1.8m), VLT, OSN (1.5m), MPG (2.2m), MMT (6.5m)	<2.3 (VLT, redshift limit)	r=25.8 (possible host)			Andy Beardmore
160227A	19:32:08	676423	195.034	78.672	2.8	316.5	31	2	0.6	0.1	0.75, CPL	0.51	12:59:13.73	78:40:44.9	1.4	151.85	267	0.4306198	0.281294937	-1.5	1.72551	2.62964	12:59:13.80	78:40:45.1	0.46	161	V=19.40	B=19.71|U>19.22|UVW1>20.5|UVM2>21.1|UVW2>20.7|White=19.80	MASTER II, Mt. Terskol (Zeiss-600), ISON-Kislovodsk (0.5m), MAXI (GSC), NOT (2.5m), McDonald (0.8m), Mt. Lemmon (1.0m)	2.38 (NOT: absorption)				Mike Siegel
160203A	02:13:10	672525	161.967	-24.772	1.7	20.2	12	1	1.3	0.4	1.93, PL	0.20	10:47:48.31	-24:47:20.6	1.5	137.28	n/a	0.0250263216	0.0096479964	-2.75	1.75592	10.3713	n/a	n/a	n/a	151	V>19.7	B>20.7|U>19.5|UVW1>19.7|UVM2>19.6|UVW2>19.9|White=21.9	MPG (2.2m), Cerro Tololo (1m), VLT, PROMPT-CTIO, HJT (1.5m), Zeiss-1000, Zadko (100cm)	3.52 (VLT: absorption)				Paolo D'Avanzo
160131A	08:20:31	672236	78.170	-7.037	1.1	325	204	5	6.4	0.3	1.24, PL	0.05	05:12:40.32	-07:02:59.5	1.4	69.68	1290	0.40383488	0.166460087	-1.656	2.02332	4.79697	05:12:40.33	-07:02:58.81	0.43	78	V=15.72	B=16.81|U=13.08|UVW1=16.18|UVM2=16.64|UVW2=17.43|White=16.71	MASTER II, Faulkes North (2m), TNT (0.8m), WFT (60cm), HJT (1.5m), LCOGT (1m), TNG (3.6m), Khureltogot (ORI-40), Bassano Bresciano Observatory, GTC (10.4m), MPG (2.2m), Murikabushi (1m), Xinglong (2.16m), Sayan Observatory, Abastumani Observatory (0.7m), Sierra Nevada Observatory (1.5m), Konus-Wind, NOEMA @ 93 and 150 GHz, VLA @ 21.8 GHz, AZT-33IK, Zeiss-1000, Astrosat CZTI	0.97 (TNG: absorption)|0.972 (GTC: absorption)|0.97 (Xinglong: absorption)				Kim Page
160121A	13:50:37	671231	109.080	-23.590	1.2	12.0	6.1	0.5	1.2	0.2	1.77, PL	0.13	07:16:21.14	-23:35:31.7	1.5	91.05	n/a	0.0617708	0.01218284	-3.871	2.2054	0.000024247	n/a	n/a	n/a	152	V>18.6	U>19.9|UVW1>18.3|UVM2>18.4|UVW2>18.5	MOA-II (1.8m), Zeiss-1000 (1m), MPG (2.2m), HJT (1.5m), GTC (10.4m)	1.960 (GTC: absorption)				Lea Hagen
160117B	13:59:27	670800	132.190	-16.340	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	08:48:46.72	-16:22:01.0	1.4	54.97	484	0.039293006	0.018139681	-1.977	1.83834	0.898968	08:48:46.76	-16:22:00.1	0.44	64	V>19.27	B=19.84|U=17.84|UVW1=18.75|UVM2=19.22|UVW2=19.18|White=18.24	MASTER II, LCOGT (1m), NOT, iTelescope (T17, 0.43m), VLT, MPG (2.2m), HJT (1.5m), VLA @ 21.8 GHz, TNG	0.870 (VLT: absorption)| 0.86 (TNG: absorption and emission)				Eda Sonbas
151215A	03:01:28	667392	93.622	35.529	2.8	17.8	3.1	0.7	1.6	0.2	1.99, PL	0.33	06:14:20.20	35:30:57.9	1.6	169.12	n/a	0.0224534385	0.0110791097	-0.9054	2.20942	0.000000000383035	06:14:20.25	35:30:57.4	0.46	174	V=19.67	B=20.85|U>20.3|UVW1>19.9|UVM2>19.6|UVW2>19.9|White=20.59	Palomar (60"), MPG (2.2m), NOT, MASTER II, La Palma (pt5m), Zeiss-1000 (1m), TAROT (25cm)	2.59 (NOT: absorption)				Sarah Gibson
151112A	13:44:48	663179	2.050	-61.680	2.6	19.32	9.4	1.2	1.9	0.2	1.77, PL	0.21	00:08:12.88	-61:39:47.8	1.5	3141.04	n/a	0.107378958	0.042591801	-0.3877	2.17922	1.035507	n/a	n/a	n/a	3144	V>20.2	B>21.1|U>21.5|UVW1>21.4|UVM2>21.3|White>21.8	MPG (2.2m), MAXI	4.1 (MPG: photometric)		Due to an observing constraint, Swift did not slew until T0+50.8 minutes.|UVOT: no detection		Daniele Malesani
151111A	08:33:23	663074	56.850	-44.154	1.0	76.93	17	1	1.0	0.1	0.79, CPL	0.45	03:47:22.75	-44:09:41.3	1.5	72.48	185	0.024124529	0.0110961095	-0.556	1.78024	0.606749	n/a	n/a	n/a	81	V>19.7	B>20.6|U>19.7|UVW1>20.0|UVM2>19.7|UVW2>20.6|White>21.7	Faulkes  South (2m), Fermi (GBM), MPG (2.2m)	3.5 (MPG: photometric)		UVOT: no detection		Marissa McCauley
151031A	05:50:30	662330	83.189	-39.125	1.3	5.00	3.2	0.3	1.7	0.2	2.41, PL	0.18	05:32:47.00	-39:07:18.6	1.5	433.62	n/a	0.035945378	0.0213361849	-0.6686	2.12551	9.68804	n/a	n/a	n/a	439	V>20.1	B>20.2|U=20.34|UVW1>20.0|UVM2>20.0|UVW2>21.0|White=20.63	VLT, MPG (2.2m)	1.167 (VLT: absorption)				Eda Sonbas
151029A	07:49:39	662086	38.537	-35.356	1.8	8.95	3.9	0.6	1.8	0.3	0.49, CPL	1.08	02:34:06.72	-35:23:08.1	1.6	n/a	n/a	0.0052366304	0.0022583747	-1.078	2.307153	3.56413	02:34:06.72	-35:23:08.6	0.42	29	V=17.66	B=19.24|U=17.35|UVW1>17.98|UVM2>18.17|UVW2>18.64|White=16.98	MPG (2.2m), VLT, Faulkes North (2m), FRAM (0.3m)	1.423 (VLT: absorption)				Tilan Ukwatta
151027B	22:40:40	661869	76.188	-6.428	2.4	80.00	15	3	n/a	n/a	1.83, PL	0.27	05:04:52.67	-06:27:00.7	1.4	203.39	53.7	0.160238208	0.062630016	-5.787	1.81176	41.4649	n/a	n/a	n/a	210	V=20.8	B>20.6|U>20.4|UVW1>20.4|UVM2>19.1|UVW2>19.9|White>20.5	NOT, VLT, MPG (2.2m), MASTER II, HJT (1.5m), Faulkes North (2m), ATCA @ 9 GHz	4.063 (VLT: absorption)		This is Swift's 1000-th detected burst.		Tilan Ukwatta
